"α4","4.06×10-3","5.606","2.27×10-2",
"α5","5.64×10-4","5.625","3.17×10-3",
"α6","6.10×10-3","5.768","3.52×10-2",
"α7","2.51×10-1","6.050","1.52",
"α recoil","2.51×10-1","1.141×10-1","2.86×10-2",
"α8","9.74×10-2","6.089","5.93×10-1",
"α recoil","9.74×10-2","1.149×10-1","1.11×10-2",
"ce-L, γ1","1.89×10-1","2.451×10-2a","4.64×10-3",
"β-4","1.85×10-2","1.924×10-1*","3.57×10-3",
"β-5","1.43×10-2","2.306×10-1*","3.32×10-3",
"β-6","4.46×10-2","5.328×10-1*","2.38×10-2",
"β-7","5.53×10-1","8.339×10-1*","4.61×10-1",
"γ3","6.66×10-2","7.273×10-1","4.85×10-2",
"γ4","1.10×10-2","7.853×10-1","8.65×10-3",
"γ5","3.77×10-3","8.934×10-1","3.37×10-3",
"γ8","5.63×10-3","1.078","6.08×10-3",
"γ9","2.88×10-3","1.512","4.36×10-3",
"γ10","1.46×10-2","1.620","2.37×10-2",

