"α24","1.10×10-3","6.807","7.48×10-3",
"α28","6.20×10-3","6.892","4.27×10-2",
"α31","5.04×10-2","6.963","3.50×10-1",
"α32","1.30×10-3","6.982","9.07×10-3",
"α33","9.34×10-1","7.022","6.55",
"α recoil","9.34×10-1","1.101×10-1","1.02×10-1",
"α34","4.00×10-3","7.079","2.83×10-2",
"ce-L, γ8","2.49×10-1","3.246×10-2a","8.10×10-3",
"ce-L, γ13","3.48×10-1","5.546×10-2a","1.93×10-2",
"ce-M, γ13","9.95×10-2","7.472×10-2a","7.43×10-3",
"L X-ray","7.28×10-1","1.569×10-2*","1.14×10-2",

