"β-2","1.78×10-1","6.972×10-2*","1.24×10-2",
"β-3","4.75×10-2","7.378×10-2*","3.50×10-3",
"β-5","7.79×10-1","1.793×10-1*","1.39×10-1",
"γ2","1.52×10-3","2.805×10-1","4.29×10-4",
"γ3","4.66×10-2","3.063×10-1","1.42×10-2",
"γ4","1.69×10-1","3.192×10-1","5.39×10-2",
"ce-K, γ4","2.50×10-3","2.948×10-1","7.38×10-4",

