"β-5","7.10×10-2","2.234×10-1*","1.58×10-2",
"β-6","1.00×10-2","2.788×10-1*","2.78×10-3",
"β-7","9.20×10-1","3.603×10-1*","3.31×10-1",
"γ2","1.23×10-2","2.453×10-1","3.03×10-3",
"γ4","6.68×10-2","3.421×10-1","2.28×10-2",

